platformId;name;alternate_name;release;company;generation;type;family;retroCompatibility;locked
196;FM-8;Fujitsu Micro 8;may-81;Fujitsu;;Computer;;;1
131;Gakken Compact Vision TV Boy;;oct-83;Gakken;2;Home video game console;;;1
138;Game & Watch;;28/04/1980;Nintendo;2;Handheld console;;;1
91;Game Boy;;21/04/1989;Nintendo;4;Handheld console;Game Boy;;1
49;Game Boy Advance;;21/03/2001;Nintendo;6;Handheld console;Game Boy;;1
74;Game Boy Color;;21/10/1998;Nintendo;5;Handheld console;Game Boy;Game Boy;1
93;Game Gear;;06/10/1990;Sega;4;Handheld console;;;1
30;Game Wave;Game Wave Family Entertainment System;oct-05;ZAPiT Games;7;Home video game console;;;1
70;game.com;;12/09/1997;Tiger Electronics;5;Handheld console;;;1
46;GameCube;;14/09/2001;Nintendo;6;Home video game console;;;1
35;Gizmondo;;19/03/2005;Tiger Telematics;7;Handheld console;;;1
3;Google Stadia;Stadia;19/11/2019;Google;8;Cloud Gaming;;;0
39;GP2X Wiz;;13/05/2009;GamePark Holdings;7;Handheld console;GP2X;;1
55;GP32;;23/11/2001;Game Park;6;Handheld console;;;1
156;HMG-1292 Advanced Programmable Video System;;;Hanimex;2;Home video game console;1292 Advanced Programmable Video System;;1
29;HyperScan;;23/10/2006;Mattel;7;Home video game console;;;1
119;Intellivision;;1980;Mattel;2;Home video game console;;;1
177;Interact Home Computer;;1978;Interact Electronics Inc;;Computer;;;1
146;Jeu Video TV;;;Karvan;2;Home video game console;Video TV Game, 1292 Advanced Programmable Video System;;1
164;KIM-1;MOS Technology Keyboard Input Monitor-1;1976;MOS Technology, Inc.;;Computer;;;1
153;Lansay 1392;;1979;Lansay;2;Home video game console;1292 Advanced Programmable Video System;;1
78;LaserActive;;20/08/1993;Piooner Coorporation;4;Home video game console;;;1
42;LeapFrog Didj;;22/08/2008;LeapFrog;7;Handheld console;Leapster;;1
40;Leapster;;07/10/2003;LeapFrog;6;Handheld console;Leapster;;1
41;Leapster Explorer;;07/06/2010;LeapFrog;7;Handheld console;Leapster;;1
230;Linux;;17/09/1991;Linus Torvalds, Open source;;Computer;;;1
106;LJN Video Art;;1987;LJN;3;Home video game console;;;1
233;macOS;Mac OS X, OS X;24/03/2001;Apple;;Computer;;;1
158;Magnavox Odyssey;;sep-72;Magnavox, Sanders Associates;1;Home video game console;;;1
117;Magnavox Odyssey 2;Magnavox Odyssey�, Philips Odyssey 2, Philips Videopac G7000, Philips Odyssey, Odyssey2;dic-78;Magnavox, Philips;2;Home video game console;;;1
160;Mainframe computers;;;;;Computer;;;1
98;Master System;Mark III;20/10/1985;Sega;3;Home video game console;;;1
83;Mega Drive;Sega Genesis;29/10/1988;Sega;4;Home video game console;Mega Drive/Sega Genesis;;1
207;Memotech MTX;;1983;Memotech;;Computer;;;1
11;Meta Quest 2;Oculus Quest 2;13/10/2020;Facebook Reality Labs;8;VR Headset;Quest;Oculus Quest, PC;0
197;MicroBee;Micro Bee;feb-82;Applied Technology;;Computer;;;1
133;Microvision;Milton Bradley Microvision, MB Microvision;nov-79;Milton Bradley Company;2;Handheld console;;;1
150;MPU-1000;;1979;Acetronic;2;Home video game console;1292 Advanced Programmable Video System;;1
107;MSX;;1983;Microsoft, ASCII Corporation;;Computer;;;1
109;MSX Turbo R;;1990;Microsoft, ASCII Corporation;;Computer;;;1
108;MSX2;;1985;Microsoft, ASCII Corporation;;Computer;;;1
101;My Vision;;1983;Nichibutsu;3;Home video game console;;;1
169;Nascom;;1977;Chris Shelton;;Computer;;;1
87;Neo Geo AES;Neo Geo Advanced Entertainment System;26/04/1990;SNK;4;Home video game console;Neo Geo;;1
86;Neo Geo CD;;09/09/1994;SNK;4;Home video game console;Neo Geo;;1
85;Neo Geo MVS;"	Neo Geo Multi Video System";26/04/1990;SNK;4;Home video game console;Neo Geo;;1
